"","X","food_price_change","language_read.none","language_read.somali_benaadir","not_safe_men_boys_where.no_answer","mother_tongue"
"1","1","increase","FALSE","FALSE",NA,"somali_standard"
"2","2","decrease","FALSE","FALSE",NA,"somali_standard"
"3","3","no_change","FALSE","FALSE",NA,"somali_standard"
"4","4","decrease","FALSE","FALSE",NA,"somali_standard"
"5","5","decrease","FALSE","FALSE",NA,"somali_standard"
"6","6","no_change","FALSE","FALSE",NA,"somali_standard"
"7","7","decrease","FALSE","FALSE",NA,"somali_standard"
"8","8","decrease","FALSE","FALSE",NA,"somali_standard"
"9","9","no_change","FALSE","FALSE",NA,"somali_standard"
"10","10","decrease","FALSE","FALSE",NA,"somali_standard"
"11","11","no_change","FALSE","FALSE",NA,"somali_standard"
"12","12","no_change","FALSE","FALSE",NA,"somali_standard"
"13","13","increase","FALSE","FALSE",NA,"somali_standard"
"14","14","increase","FALSE","FALSE",NA,"somali_standard"
"15","15","decrease","FALSE","FALSE",NA,"somali_standard"
"16","16","decrease","FALSE","FALSE",NA,"somali_standard"
"17","17","decrease","FALSE","FALSE",NA,"somali_standard"
"18","18","increase","FALSE","FALSE",NA,"somali_standard"
"19","19","decrease","FALSE","FALSE",NA,"somali_standard"
"20","20","decrease","FALSE","FALSE",NA,"somali_standard"
"21","21","increase","FALSE","FALSE",NA,"somali_standard"
"22","22","increase","FALSE","FALSE",NA,"somali_standard"
"23","23","decrease","FALSE","FALSE",NA,"somali_standard"
"24","24","decrease","FALSE","FALSE",NA,"somali_standard"
"25","25","decrease","FALSE","FALSE",NA,"somali_standard"
"26","26","no_change","FALSE","FALSE",NA,"somali_standard"
"27","27","decrease","FALSE","FALSE",NA,"somali_standard"
"28","28","decrease","FALSE","FALSE",NA,"somali_standard"
"29","29","decrease","FALSE","FALSE",NA,"somali_standard"
"30","30","decrease","FALSE","FALSE",NA,"somali_standard"
"31","31","decrease","FALSE","FALSE",NA,"somali_standard"
"32","32","increase","FALSE","FALSE",NA,"somali_standard"
"33","33","no_change","FALSE","FALSE",NA,"somali_standard"
"34","34","decrease","FALSE","FALSE",NA,"somali_standard"
"35","35","decrease","FALSE","FALSE",NA,"somali_standard"
"36","36","decrease","FALSE","FALSE",NA,"somali_standard"
"37","37","increase","TRUE","FALSE",NA,"somali_standard"
"38","38","no_change","TRUE","FALSE",NA,"somali_standard"
"39","39","increase","FALSE","FALSE",NA,"somali_standard"
"40","40","no_change","FALSE","FALSE",NA,"somali_maay"
"41","41","increase","FALSE","FALSE",NA,"somali_maay"
"42","42","increase","FALSE","FALSE","FALSE","somali_maay"
"43","43","no_change","FALSE","FALSE",NA,"somali_maay"
"44","44","no_change","FALSE","FALSE",NA,"somali_maay"
"45","45","increase","TRUE","FALSE",NA,"somali_maay"
"46","46","no_change","TRUE","FALSE",NA,"somali_maay"
"47","47","increase","FALSE","FALSE",NA,"somali_benaadir somali_maay"
"48","48","increase","TRUE","FALSE",NA,"somali_standard somali_maay"
"49","49","increase","TRUE","FALSE",NA,"somali_maay"
"50","50","no_change","FALSE","FALSE","FALSE","mushunguli"
"51","51","increase","FALSE","FALSE",NA,"mushunguli"
"52","52","increase","FALSE","FALSE",NA,"mushunguli"
"53","53","increase","FALSE","FALSE",NA,"mushunguli"
"54","54","increase","FALSE","FALSE",NA,"mushunguli"
"55","55","no_change","FALSE","FALSE",NA,"mushunguli"
"56","56","no_change","FALSE","FALSE",NA,"mushunguli"
"57","57","increase","FALSE","FALSE",NA,"mushunguli"
"58","58","increase","FALSE","FALSE",NA,"mushunguli"
"59","59","increase","FALSE","FALSE",NA,"mushunguli"
"60","60","increase","FALSE","FALSE",NA,"mushunguli"
"61","61","no_change","FALSE","FALSE",NA,"mushunguli"
"62","62","no_change","FALSE","FALSE",NA,"mushunguli"
"63","63","no_change","FALSE","FALSE",NA,"mushunguli"
"64","64","no_change","FALSE","TRUE",NA,"mushunguli"
"65","65","no_change","FALSE","TRUE",NA,"mushunguli"
"66","66","no_change","FALSE","TRUE","FALSE","mushunguli"
"67","67","no_change","FALSE","TRUE",NA,"mushunguli"
"68","68","increase","FALSE","TRUE",NA,"mushunguli"
"69","69","increase","FALSE","FALSE",NA,"mushunguli"
"70","70","no_change","FALSE","FALSE",NA,"bravanese mushunguli"
"71","71","no_change","FALSE","FALSE",NA,"mushunguli"
"72","72","no_change","FALSE","FALSE",NA,"mushunguli"
"73","73","no_change","FALSE","FALSE",NA,"mushunguli"
"74","74","increase","FALSE","FALSE",NA,"mushunguli"
"75","75","increase","FALSE","FALSE",NA,"mushunguli"
"76","76","increase","FALSE","FALSE",NA,"mushunguli"
"77","77","increase","TRUE","FALSE",NA,"somali_standard"
"78","78","no_change","FALSE","FALSE",NA,"somali_standard"
"79","79","no_change","FALSE","FALSE",NA,"somali_standard"
"80","80","no_change","FALSE","FALSE",NA,"somali_standard"
"81","81","no_change","FALSE","FALSE",NA,"somali_standard"
"82","82","no_change","FALSE","FALSE",NA,"somali_standard"
"83","83","no_change","FALSE","FALSE",NA,"somali_standard"
"84","84","no_change","FALSE","FALSE",NA,"somali_standard"
"85","85","no_change","FALSE","FALSE",NA,"somali_standard"
"86","86","no_change","FALSE","FALSE",NA,"somali_standard"
"87","87","increase","FALSE","FALSE",NA,"somali_sign"
"88","88","increase","FALSE","FALSE",NA,"somali_sign"
"89","89","increase","FALSE","FALSE",NA,"somali_sign"
"90","90","increase","FALSE","FALSE",NA,"somali_sign"
"91","91","increase","FALSE","FALSE",NA,"somali_sign"
"92","92","increase","FALSE","FALSE",NA,"somali_sign"
"93","93","no_change","FALSE","FALSE",NA,"somali_sign"
"94","94","increase","FALSE","FALSE",NA,"somali_sign"
"95","95","increase","FALSE","FALSE",NA,"somali_sign"
"96","96","increase","FALSE","FALSE",NA,"somali_sign"
"97","97","increase","FALSE","TRUE",NA,"somali_benaadir"
"98","98","increase","FALSE","TRUE",NA,"somali_benaadir"
"99","99","increase","FALSE","TRUE",NA,"somali_benaadir"
"100","100","increase","FALSE","TRUE",NA,"somali_benaadir"
"101","101","increase","FALSE","TRUE",NA,"somali_standard"
"102","102","increase","FALSE","TRUE",NA,"somali_benaadir"
"103","103","increase","FALSE","TRUE","FALSE","somali_benaadir"
"104","104","increase","FALSE","TRUE",NA,"somali_benaadir"
"105","105","increase","FALSE","TRUE",NA,"somali_benaadir"
"106","106","increase","FALSE","TRUE",NA,"somali_benaadir"
"107","107","increase","FALSE","FALSE",NA,"somali_standard"
"108","108","no_change","FALSE","FALSE",NA,"somali_standard arabic english"
"109","109","increase","FALSE","FALSE",NA,"somali_standard"
"110","110","decrease","FALSE","FALSE",NA,"somali_standard"
"111","111","increase","FALSE","FALSE",NA,"somali_standard"
"112","112","decrease","FALSE","FALSE",NA,"somali_standard"
"113","113","increase","FALSE","FALSE",NA,"somali_standard"
"114","114","decrease","FALSE","FALSE",NA,"somali_standard"
"115","115","decrease","FALSE","FALSE",NA,"somali_standard"
"116","116","decrease","FALSE","FALSE",NA,"somali_standard"
"117","117","decrease","FALSE","FALSE",NA,"somali_standard"
"118","118","decrease","FALSE","FALSE",NA,"somali_standard"
"119","119","decrease","FALSE","FALSE",NA,"somali_standard"
"120","120","increase","FALSE","FALSE",NA,"somali_standard"
"121","121","increase","FALSE","FALSE",NA,"somali_standard"
"122","122","increase","FALSE","FALSE",NA,"somali_standard"
"123","123","increase","FALSE","FALSE",NA,"somali_standard"
"124","124","no_change","TRUE","FALSE",NA,"somali_standard"
"125","125","no_change","TRUE","FALSE",NA,"somali_standard"
"126","126","no_change","TRUE","FALSE",NA,"somali_standard somali_benaadir"
"127","127","no_change","TRUE","FALSE",NA,"somali_standard"
"128","128","no_change","FALSE","FALSE",NA,"somali_standard somali_maay"
"129","129","no_change","TRUE","FALSE",NA,"somali_standard somali_maay"
"130","130","increase","FALSE","FALSE",NA,"somali_maay"
"131","131","no_change","FALSE","FALSE",NA,"somali_maay"
"132","132","increase","FALSE","FALSE",NA,"somali_standard"
"133","133","increase","FALSE","FALSE",NA,"somali_standard"
"134","134","increase","FALSE","FALSE",NA,"somali_standard"
"135","135","increase","TRUE","FALSE",NA,"somali_standard"
"136","136","decrease","TRUE","FALSE",NA,"somali_standard"
"137","137","no_change","FALSE","FALSE",NA,"somali_standard"
"138","138","increase","FALSE","FALSE",NA,"somali_maay"
"139","139","increase","FALSE","FALSE",NA,"somali_benaadir"
"140","140","increase","FALSE","FALSE",NA,"somali_maay"
"141","141","increase","FALSE","FALSE",NA,"mushunguli"
"142","142","increase","FALSE","FALSE",NA,"kibajuni"
"143","143","increase","FALSE","FALSE",NA,"somali_maay"
"144","144","no_change","TRUE","FALSE",NA,""
"145","145","decrease","FALSE","TRUE",NA,""
"146","146","no_change","TRUE","FALSE",NA,""
"147","147","no_change","TRUE","FALSE",NA,""
"148","148","no_change","FALSE","TRUE",NA,""
"149","149","no_change","FALSE","TRUE",NA,""
"150","150","no_change","FALSE","TRUE",NA,""
"151","151","no_change","TRUE","FALSE",NA,""
"152","152","no_change","TRUE","FALSE",NA,""
"153","153","no_change","FALSE","TRUE",NA,""
"154","154","no_change","FALSE","TRUE",NA,""
"155","155","no_change","FALSE","TRUE",NA,""
"156","156","no_change","FALSE","TRUE",NA,""
"157","157","no_change","FALSE","TRUE",NA,""
"158","158","no_change","FALSE","TRUE",NA,""
"159","159","no_change","FALSE","TRUE",NA,""
"160","160","no_change","FALSE","TRUE",NA,""
"161","161","no_change","FALSE","TRUE",NA,""
"162","162","no_change","FALSE","TRUE",NA,""
"163","163","no_change","FALSE","TRUE",NA,""
"164","164","decrease","FALSE","TRUE",NA,""
"165","165","increase","FALSE","TRUE",NA,""
"166","166","no_change","FALSE","TRUE",NA,""
"167","167","increase","FALSE","TRUE",NA,""
"168","168","no_change","FALSE","TRUE",NA,""
"169","169","decrease","FALSE","TRUE",NA,""
"170","170","increase","FALSE","TRUE",NA,""
"171","171","no_change","FALSE","TRUE",NA,""
"172","172","decrease","FALSE","TRUE",NA,""
"173","173","increase","FALSE","TRUE",NA,""
"174","174","increase","FALSE","TRUE",NA,"somali_benaadir"
"175","175","increase","FALSE","TRUE",NA,"somali_benaadir"
"176","176","increase","FALSE","TRUE",NA,"somali_benaadir"
"177","177","increase","FALSE","TRUE",NA,"somali_benaadir"
"178","178","increase","FALSE","TRUE",NA,"somali_benaadir"
"179","179","increase","FALSE","FALSE",NA,"somali_standard"
"180","180","increase","FALSE","FALSE",NA,"somali_standard"
"181","181","increase","FALSE","FALSE",NA,"somali_standard"
"182","182","increase","FALSE","FALSE",NA,"somali_standard"
"183","183","increase","TRUE","FALSE",NA,"somali_standard"
"184","184","increase","TRUE","FALSE",NA,"somali_standard"
"185","185","decrease","FALSE","FALSE",NA,"somali_standard"
"186","186","no_change","TRUE","FALSE",NA,"somali_standard"
"187","187","decrease","FALSE","FALSE",NA,""
"188","188","decrease","FALSE","FALSE",NA,""
"189","189","no_change","FALSE","FALSE",NA,""
"190","190","decrease","FALSE","FALSE",NA,""
"191","191","increase","FALSE","FALSE",NA,""
"192","192","decrease","FALSE","FALSE",NA,""
"193","193","increase","FALSE","FALSE",NA,""
"194","194","increase","FALSE","FALSE",NA,""
"195","195","increase","FALSE","FALSE",NA,""
"196","196","increase","FALSE","FALSE","FALSE",""
"197","197","decrease","FALSE","FALSE","FALSE",""
"198","198","decrease","FALSE","FALSE","FALSE",""
"199","199","increase","FALSE","FALSE",NA,""
"200","200","increase","FALSE","TRUE",NA,""
"201","201","increase","FALSE","TRUE",NA,""
"202","202","increase","FALSE","TRUE",NA,""
"203","203","increase","FALSE","FALSE",NA,""
"204","204","increase","FALSE","FALSE",NA,""
"205","205","increase","FALSE","FALSE",NA,""
"206","206","","FALSE","FALSE",NA,""
"207","207","increase","FALSE","FALSE",NA,""
"208","208","no_change","FALSE","TRUE",NA,""
"209","209","increase","FALSE","TRUE",NA,"somali_benaadir"
"210","210","increase","FALSE","TRUE","FALSE","somali_benaadir"
"211","211","decrease","FALSE","TRUE",NA,"somali_benaadir"
"212","212","decrease","FALSE","TRUE",NA,"somali_benaadir"
"213","213","increase","TRUE","FALSE","FALSE","somali_standard"
"214","214","","FALSE","FALSE",NA,"somali_standard somali_sign"
"215","215","increase","FALSE","TRUE",NA,"somali_benaadir"
"216","216","increase","FALSE","TRUE",NA,"somali_benaadir"
"217","217","increase","FALSE","TRUE",NA,"somali_benaadir"
"218","218","no_change","FALSE","TRUE",NA,"somali_benaadir"
"219","219","increase","FALSE","TRUE",NA,"somali_benaadir"
"220","220","increase","FALSE","FALSE",NA,"somali_standard"
"221","221","no_change","FALSE","FALSE",NA,"somali_standard"
"222","222","increase","FALSE","FALSE",NA,"somali_standard"
"223","223","increase","FALSE","FALSE",NA,"somali_standard"
"224","224","increase","FALSE","FALSE",NA,"somali_standard"
"225","225","increase","FALSE","FALSE",NA,"somali_standard"
"226","226","no_change","FALSE","FALSE",NA,"somali_standard"
"227","227","increase","FALSE","FALSE",NA,"somali_standard"
"228","228","decrease","FALSE","FALSE",NA,"somali_standard"
"229","229","increase","FALSE","FALSE",NA,"somali_benaadir"
"230","230","increase","FALSE","TRUE",NA,"somali_benaadir"
"231","231","increase","FALSE","TRUE",NA,"somali_benaadir"
"232","232","increase","FALSE","TRUE",NA,"somali_benaadir"
"233","233","increase","FALSE","TRUE",NA,"somali_benaadir"
"234","234","increase","FALSE","TRUE",NA,"somali_benaadir"
"235","235","increase","FALSE","TRUE",NA,"somali_benaadir"
"236","236","increase","FALSE","TRUE",NA,"somali_benaadir"
"237","237","increase","FALSE","TRUE",NA,"somali_benaadir"
"238","238","increase","FALSE","TRUE",NA,"somali_benaadir"
"239","239","increase","FALSE","TRUE",NA,"somali_benaadir"
"240","240","increase","FALSE","TRUE",NA,"somali_benaadir"
"241","241","increase","FALSE","TRUE",NA,"somali_benaadir"
"242","242","decrease","FALSE","TRUE",NA,"somali_benaadir"
"243","243","increase","FALSE","FALSE",NA,"somali_standard"
"244","244","increase","FALSE","FALSE",NA,"somali_standard"
"245","245","increase","FALSE","FALSE",NA,"somali_standard"
